"physical_health","functional_status","age_group","probability"
"low","independent","65-69",0.209348093480935
"mid","independent","65-69",0.331119311193112
"high","independent","65-69",0.459532595325953
"low","limited","65-69",0.385964912280702
"mid","limited","65-69",0.307017543859649
"high","limited","65-69",0.307017543859649
"low","independent","70-79",0.363250230840259
"mid","independent","70-79",0.281809787626962
"high","independent","70-79",0.354939981532779
"low","limited","70-79",0.522374429223744
"mid","limited","70-79",0.275799086757991
"high","limited","70-79",0.201826484018265
"low","independent","80+",0.558128973660309
"mid","independent","80+",0.227066303360581
"high","independent","80+",0.21480472297911
"low","limited","80+",0.75235646958012
"mid","limited","80+",0.166238217652099
"high","limited","80+",0.0814053127677806
