"social_resources","functional_status","psychological_condition","probability"
"low","independent","low",0.681698609545284
"mid","independent","low",0.248778654641112
"high","independent","low",0.0695227358136039
"low","limited","low",0.578616352201258
"mid","limited","low",0.279424977538185
"high","limited","low",0.141958670260557
"low","independent","mid",0.271353684859698
"mid","independent","mid",0.430928152944804
"high","independent","mid",0.297718162195498
"low","limited","mid",0.335790335790336
"mid","limited","mid",0.416871416871417
"high","limited","mid",0.247338247338247
"low","independent","high",0.0445759368836292
"mid","independent","high",0.261143984220907
"high","independent","high",0.694280078895464
"low","limited","high",0.0833333333333333
"mid","limited","high",0.177083333333333
"high","limited","high",0.739583333333333
