"socioeconomic_resources","functional_status","age_group","probability"
"low","independent","65-69",0.167281672816728
"mid","independent","65-69",0.35990159901599
"high","independent","65-69",0.472816728167282
"low","limited","65-69",0.129385964912281
"mid","limited","65-69",0.366228070175439
"high","limited","65-69",0.504385964912281
"low","independent","70-79",0.369898430286242
"mid","independent","70-79",0.330009233610342
"high","independent","70-79",0.300092336103416
"low","limited","70-79",0.325114155251142
"mid","limited","70-79",0.374429223744292
"high","limited","70-79",0.300456621004566
"low","independent","80+",0.48047229791099
"mid","independent","80+",0.3047229791099
"high","independent","80+",0.21480472297911
"low","limited","80+",0.544130248500428
"mid","limited","80+",0.274207369323051
"high","limited","80+",0.181662382176521
