"decile","n","observed_limited","mean_cv_probability","min_probability","max_probability"
"1","159","0.0566037735849057","0.016417630825674","0.00483621625839906","0.0250555033503007"
"2","159","0.0377358490566038","0.033317310621252","0.0250618327469092","0.0429853845102418"
"3","159","0.10062893081761","0.0546139696540279","0.0429853845102418","0.0674828147023844"
"4","159","0.106918238993711","0.0832794169144808","0.0674828147023844","0.0971123423334869"
"5","159","0.157232704402516","0.11306265680919","0.0973077896073277","0.129525814807041"
"6","159","0.144654088050314","0.154122660312551","0.129817193902792","0.178791487565617"
"7","159","0.207547169811321","0.207118629796569","0.178977196633105","0.233817450962326"
"8","159","0.232704402515723","0.276725313773613","0.234019336245093","0.332743220327839"
"9","159","0.327044025157233","0.406154064138297","0.332765787914037","0.488203967788771"
"10","159","0.49685534591195","0.626612562014284","0.488708563281176","0.875855586616548"
