"fold","n","limited_n","observed_limited","mean_cv_probability","auc"
"1","159","30","0.188679245283019","0.198892816168375","0.60374677002584"
"2","159","27","0.169811320754717","0.175737747986178","0.691077441077441"
"3","159","31","0.19496855345912","0.213931177412708","0.702998991935484"
"4","159","28","0.176100628930818","0.211025065931747","0.739640130861505"
"5","159","22","0.138364779874214","0.197462221671832","0.755640345056403"
"6","159","29","0.182389937106918","0.211673378004495","0.815384615384615"
"7","159","29","0.182389937106918","0.186054014853052","0.751989389920424"
"8","159","34","0.213836477987421","0.203091684807214","0.775647058823529"
"9","159","40","0.251572327044025","0.195865604329139","0.748319327731092"
"10","159","27","0.169811320754717","0.177690503695199","0.787878787878788"
